id,merchantName
6035,LensOn
6037,Zavvi (US &amp; CA)
6038,lookfantastic.com (US &amp; CA)
6040,Very (Financial Services)
6045,iwantoneofthose.com (US &amp; CA)
6046,Garden Wildlife Direct
6049,Cuckooland
6050,Navigation.com - HERE (EUR)
6054,LED Bulbs
6055,airconcentre
6056,toucanBox
6057,tReds
6059,Dogalogue
6093,Goodwin Smith
6064,Think Hotels
6069,Weird Fish
6070,Isharya (Global)
6072,IT Governance
6074,Tails
6075,Reader&#39;s Digest
6076,Campbellsmeat
6079,Sourcebmx
6081,Golf Care
6084,Quark Expeditions UK
6091,Etsy UK
6092,Crampton and Moore
6095,Big Green Smile
6097,ConceptByCruise
6099,The Football Pools
6102,The London Academy of Trading - Lead Generation
6105,Waitrose Pet
6107,Ottillie Pop
6110,Rowlands Pharmacy
6111,Emazing Deals Ltd
6113,Domu.co.uk
6114,Direct2Mum
6126,Screwfix IE
6127,Freego
6128,Direct Fireplaces
6129,Direct Stoves
